Chinese	Translated
鎮脈心經	진맥심경
輕風寶典	경풍보전
攪龍大法	교룡대법
殘葉異典	잔엽이전
達摩易筋經	달마역근경
睡仙大法	수선대법
虎嘯訣	포효결
龍吟功	용음공
圓月神功	만월신공
希夷心法	소이심법
新月神功	신월신공
江流訣	유수결
蒼江訣	창강결
文池續墨	문지속묵
七傷星迴法	칠성회법
酒菜	술과안주
精美玉珮	정미옥패
太極之陰玉珮	태극지음옥패
太極陰陽玉珮	태극음양옥패
龍形玉珮	용옥패
秘笈    비급
文池續墨	문지속묵
光明神功	광명신공
蠱躍聖經	고약성경
鎮脈心經	진맥심경
輕風寶典	경풍보전
攪龍大法	교룡대법
殘葉異典	잔엽이전
達摩易筋經	달마역근경
睡仙大法	수선대법
虎嘯訣	포효결
龍吟功	용음공
圓月神功	월광신공
希夷心法	소이심법
新月神功	신월신공
江流訣	유수결
蒼江訣	창강결
幻波渾圓掌	환파혼원장
千里雷馳腿法	천리뇌치퇴법
七傷星迴法	칠성회법
無極劍氣	무극검기
天機刀法	천기도법
八方刀勢	팔방도세
弒魂刀法	시혼도법
懸河劍法	현하검법
醉仙劍訣	취선검결
藏墨劍法	장묵검법
炙然槍訣	적연창결
龍蛇槍法	용사창법
怒目金剛棍	노목금강곤
癒傷丸	유상환
通血丸	통혈환
百草丸	백초환
仙療丸	선요환
神癒丸	신유환
槁木新生丸	고목신생환
養生丹	양생단
回春丹	회춘단
大還丹	대환단
延命丹	연명단
神現丹	신현단
欲歸無路丹	귀로단
養氣露	양기차
通脈露	통맥차
凝玉露	응옥차
癒靈露	영로차
增魄露	증백차
千年一滴露	천년일용차
凝神漿	응신장
通息漿	통식장
蜂王漿	봉왕장
固魂漿	고혼장
仙靈漿	선령장
吋蟲飛升漿	촌훼비승장
女兒紅	여아홍
吉山紅	길산홍
醉白貢	취백공
五里稠	오리주
紅露	홍차
金華紅	금화홍
姚子雪曲酒	요자설곡주
枸醬酒	구장주
劍南燒春酒	검남소춘주
瑞露酒	서로주
西鳳酒	서봉주
汾酒	분주
五味子酒	오미자주
一柱天酒	일주천주
二仙酒	이선주
五蛇酒	오사주
八珍酒	팔진주
十全大補酒	십전대보주
枸杞酒	구기자주
山楂酒	산사주
葡萄酒	포도주
冬棗酒	동추주
蜜桃酒	밀도주
妃笑酒	비소주
增命丸	증명환
仙丹	선단
益氣露	익기차
凝血丹	응혈단
定脈露	정맥차
傷身	손상
異味	별미
特效	특수
奇香	기향
鐵塊	철괴
鋼材	강목
獸骨	뼈가루
絲綢	비단
絲緞	공단
加工設計圖	강화설계도
雪山霧絲	설산무연
金塊	금괴
銀塊	은괴
槍頭	창두
古矛	오래된창
百煉鋼	백련강
青雲泉水	청운천수
祈禱祝文	기도축문
隕鐵	운철
寒玉石	냉옥석
寒鐵	한철
冷泉	냉천
異域皮革	이혁가죽
萬年神木	만년신목
天蠶絲	천잠사
金蠶絲	금천사
神祕金屬	신비금속
巨人遺骨	거인유골
神獸遺骨	신수유골
火珍珠	화진주
青龍爪	청룡조
白虎牙	백호아
神火	성화
龍火	용화
龍炎鋼	염룡강
深海玄鐵	심해현철
天外晶石	천외청석
麻黃	마황
烏賊骨	오적골
木椒根	목초근
沉香	침향
陳皮	진피
薑黃	생강
當歸	당귀
何首烏	하수오
薄荷	박하
決明子	결명자
地黃	지황
沙參	사삼
白茅根	백모근
大黃	대황
車前子	차전자
胡黃連	호황련
橡子	도토리
包穀	옥수수
高粱	수수
杜梨	돌배
秈稻	볏단
秈糯米	선찹쌀
粳稻	쌀
粳糯米	경찹쌀
龜板	등껍질
鹿茸	녹용
犀角	소뿔
龜殼花	귀각화
葡萄	포도
冬棗	동대추
蜜桃	복숭아
荔枝	여지
飯糰	주먹밥
懸賞單	현상서
跑商單子	주상표
藥性資訊	약성정보
製藥	제약
製藥槁木新生丸	제약고목신생환
製藥欲歸無路丹	제약욕귀무로단
製藥千年一滴露	제약천년일적로
製藥吋蟲飛升漿	촌훼비승장을 제약한다
摩尼英雄傳	마니영웅전
摩尼教義	마니교 교법
摩尼教義2	마니교 교법2
紙條	쪽지
DLC驅蟲訊息	DLC제거메시지
白虎卷	백호권
玄武卷	현무권
朱雀卷	주작권
青龍卷	청룡권
日記全本	일기완본
紅色鯉魚	붉은 잉어
四葉苜蓿	잎이네개인토끼풀
趙妽的手絹	조신의수건
汙損的心法殘章	우선비심법잔장
月季花	월계화
蘇合息香丸	소합식향환
金松冷香丸	금송냉향환
雙木甜香丸	쌍목첨향환
滄野幽香丸	창야유향환
西湖龍井茶	서호용정차
少林手抄經書	소림 경서 필사본
述異記	술이기
摩尼教銘板	마니교명판
琉璃仿翠頭飾	유리 비단 머리장식
狗皮膏藥	개가죽고약
手繪鏢旗	표국깃발
內有紙條的錢包	쪽지가 들어있는 주머니
杭州橫羅	항주행라
仙草乾	말린 선초
一疊金紙	금종이 한묶음
漢圖十三勢	한도십삼세
古棋譜抄本	고대 기보 필사본
熱呼呼的包袱	따끈한 보따리
鏢物盒子	표물상자
破爛石頭	낡은 돌
玉石原石	옥석원석
多汁蘋果	즙이 많은 사과
黏糊糊的藥方	끈적거리는 약방
練琮淵的口笛	연종연의 피리
練琮淵的文章	연종연의 글
賣身契	인신매매 계약서
閻鈴蘭	염령란
血毒解藥	혈독의 해약
生麵條	생국수
參賽證明	참가증명서
鑌鐵手鐲	단철팔찌
怪草	이상한 풀
小櫻的藥方	소앵의 약방
朱砂	주사
逆天逆命丹	역천역명단
小女鬼的藥	소녀귀신의 약
谷史註記	곡사주기
藥王谷藥典	약왕곡약전
青麯	청곡
落葉回塵散	낙엽회진산
炙然槍訣	적연창결
龍蛇槍法蛇篇	용사창법 사편
龍蛇槍法龍篇	용사창법 용편
火種	불씨
釣竿	낚시대
花繩	화승
釣鉤	낚시바늘
綁上鉤子的花繩	고리가 달린 밧줄
飄逸的字畫	펄럭이는 서화
私奔路觀圖	사행로지도
舞芍的小畫	무작의 그림
詩芙的小畫	시부의 그림
詠蓮的小畫	영련의 그림
繪梅的小畫	매화의 그림
阿宅的情書	아가의 연서
生雞肉	생닭고기
烤雞肉	구운 닭고기
染血的魚腸短劍	피묻은 어장 단검
魚腸短劍	어장 단검
黃瓜	오이
黃瓜片	오이조각
羊奶	양젖
金銀花	금은화
穿心蓮	천심련
清血藥	청혈제
酒麴比例	주국비례
豆麴	콩곡
麥麴	밀곡
五牛圖	오우도(五牛圖)
鴛鴦玉珮	원앙옥패
半塊鴛鴦玉珮	원앙옥패의 절반
威脅紙條	협박 쪽지
謎樣丹藥	수수께끼의 단약
嬸娘的髮簪	숙모의 비녀
大鮮菇	대선고
大鮮菇汁液	대선고 진액
長黑菇	장흑고
長黑菇汁液	장흑고 진액
老僕人的字條	늙은 하인의 쪽지
白虎卷	백호권
朱雀卷	주작권
青龍卷	청룡권
玄武卷	현무권
僕人的記載全篇	하인의 기록 전편
伏神針	복신침
洛雁谷髮簪	낙안곡 비녀
曼陀羅火把	만다라 횃불
驅蟲火把	해충 구제용 횃불
一般令牌	일반 영패
火把	횃불
曼陀羅花汁	만다라화 즙
七星瓢蟲	칠성무당벌레
雪冰蟾	설빙섬
炎尾蠍	염미갈
奇異石片	기이한 석편
冰蟾炎蠍丸	빙섬염갈환
五毒血術	오독혈술
藥佛舍利	약불사리
雪貂皮	눈담비 가죽
剖開的雪貂皮	갈라진 눈담비 가죽
細織天蠶絲衣圖紙	섬세한 천잠사의 도면
羅旺子酒	라왕자주
砒霜	비상
宣紙	화선지
怪異的合同	기이한 계약서
一碗水	물한사발
門鎖鑰匙	문 열쇠
武學書	무학책
劍鋒牢房鑰匙	검봉감옥 열쇠
沾滿米糠的油紙	쌀겨 묻은 기름종이
碧光酒	벽광주
玉液酒	옥액주
清風酒	청풍주
唐詩集	당시집
特產荔枝	특산물 여지
空酒甕	빈 술독
老人夜壺	노인요강
黑桑葚	검은오디
紅桑葚	붉은오디
烤五花肉	구운 삼겹살
花生米	땅콩
酒甕上半的碎片	술독 위의 조각
酒甕口的碎片	술독 입의 조각
酒甕下半的碎片	술독 아래 조각
酒甕底的碎片	술독 바닥 조각
甕片組	옹편조
盧一飛的手鐲	노일비의 팔찌
紅色錦囊	홍색 금낭
黃色錦囊	황색 금낭
綠色錦囊	녹색 금낭
藍色錦囊	남색 금낭
紫色錦囊	자색 금낭
粉紅色錦囊	분홍색 금낭
黑色錦囊	흑색 금낭
米倉鑰匙	곡창열쇠
祖傳寶劍	가문보검
燉雞湯	닭국
小孩的紙條	아이의 쪽지
嬸娘的石頭	숙모님의 돌
鳳眼果的種子	봉안과씨앗
雪溪圖	설계도
金蟬髮簪	금매비녀
金蠶繭	금잠충
金蠶	금잠
金蠶環鎖網	금잔환쇄망
漁網	어망
黃金海鮮肉包	황금해물만두
一袋麻繩	삼노끈 한포대
谷密菜	곡밀채
水蛇茅	물뱀풀
醉魂葉	취혼엽
漿王果	장왕과
龍躍解毒湯	용약해독탕
長虹劍	장홍검
谷岳劍	곡악검
乾稻草	마른 볏집
一碗井水	우물물 한사발
一袋馬毛	말털 한포대
銀絲糖	은사당
曼陀羅花	만다라화
一串鑰匙	열쇠꾸러미
古陽堂藥單	고양당약방
黃芩	황금
雙黃癒火膏	쌍황유화고
影子內衛斷刀	영자내위단도
蟲藥方半張	충약방 반쪽
弒魂刀	시혼도
羅魁的信	라괴의 편지
趙妽的訂單	조신의 주문서
訂製鐵鑰匙	주문된 철제열쇠
衙門牢房鑰匙	관아 철창열쇠
泛黃的紙條	누런 종이 쪽지
發臭的紙條	냄새나는 쪽지
發霉的紙條	곰팡이핀 쪽지
玳瑁假甲	가짜거북발톱
陷阱材料清單	함정재료목록
麻繩網	노끈망
偽裝物	위장물
鐵蒺藜	마름쇠
春秋書卷	춘추서권
許鏢師證詞	허표사 증언
馮人薄證詞	풍인박 증언
程霓霓證詞	정예예 증언
鄭鏢師證詞	정표사 증언
朱鏢師證詞	주표사 증언
王鏢師證詞	왕표사 증언
陳鏢師證詞	진표사 증언
丫環證詞	여종 증언
未乾的畫	마르지않은 그림
斷掉的麻繩	끊어진 삼끈
斷掉的髒麻繩	끊어진 노끈
完好的門鎖	멀쩡한 자물쇠
日記殘頁	일기 잔장
次等厚織護腕	이등급 두꺼운 손목보호대
次等鐵塊	이등급 쇳덩이
次等鋼材	이등급 강재
往開封的船票	개봉으로가는배표
大蜈蚣	대오공
幼芬畫像	유분화상
彩貓糕	채묘고
烏龍茶	오룡차
陳年高粱酒	진년고량주
陳年棺馬酒	오래된 관마주
棺馬通行令牌	관마채 통행 영패
檀香木佛像	단향목불상
翡翠冰玉鐲	빙옥팔찌
釀酒比試題目	술빚기시합주제
蓮花扇	연꽃부채
虎皮地毯	호랑이가죽
紫檀木盒	자단목함
吉山紅紙條	길산홍 제조법
天機小石珠	천기소석주
春字鑰匙	춘자열쇠
務農工具	농기구
仙烈酒	선열주
藥膏	연고
酒	술
療傷小花	회복초
特製傷藥	상처약
六路腿法秘笈	육로퇴법 비급
字條	쪽지
另一張字條	두번째쪽지
第三張字條	세번째쪽지
石頭戒指	돌반지
涂爺的飯糰	도련님의 주먹밥
生鏽的項鍊	녹슨목걸이
自宅地契	땅문서
玉珮	옥패
棉衣	면옷
殘葉異典殘章	잔엽이전전장
布條壹	천조각
酒肉包子	주육만두
布條貳	천조각
蠟菊	밀짚꽃
蜂蜜	벌꿀
廉價酒	막걸리
祭品	공물
陳舊的信	낡은 편지
飛仙望月	비선망월
燒刀子	소도자
特製飛仙望月	특제 비선망월
四方鎖	사각자물쇠
不知名的藥草	이름 모를 약초
嬸娘的字條	숙모의 쪽지
死老鼠	죽은 쥐
巨型寒鐵石	초대형 한철석
發黑的當歸	검은색당귀
紅色方布	붉은색 네모난 천
繡花鞋	수 놓은 신발
斷腸寶劍	단장보검
玉手鐲	옥팔찌
白色手絹	흰 손수건
摩尼教典	마니교전
斷了的梳子	부러진 빗
清水無上麵粉	청수 밀가루
黃金開口麵粉	황금 밀가루
麵粉	밀가루
盜賊的玉石	도적의 보석
「龍人女」玉石	「용인녀」옥석
碎裂的玉珮	쇄열적옥패
廉價的玉珮	염개적옥패
醉仙釀	취선양
大白菜	태백채
嬸娘的醃菜	숙모의김치
療傷丸(半價)	병상환(반값)
療傷丸(特價)	병상환(헐값)
療傷丸(免費送)	병상환(그냥줌)
大福叔的字條	소대복의 쪽지
小溪三俠木刀	소강삼협목도
綢緞	주단
糨糊	아교
改運護符	개운호부
龐家彩(未開獎)	방가채(미개봉)
龐家彩(頭獎)	방가채(대상)
龐家彩(二獎)	방가채(이상)
龐家彩(三獎)	방가채(삼상)
布條叁	헝겊
小籠包	샤오롱바오
香油	향유
煎魚	전어
百香棗	백향대추
龍鋼指環	용강반지
斷裂龍泉劍	손상된 검
白米	백미
飯團	주먹밥
酒館藥膳麵	주관약선면
壞掉的髮簪	망가진 비녀
修好的髮簪	잘 관리한 비녀
四十八號杏仁茶	사십팔호 행인차
樹果	수박
小米	좁쌀
鱉甲	자라의 등딱지
濁酒	탁주
採購清單	명세서
梁人昊的信	양인호적신
小金佛	소금불
爆竹	폭죽
清水玉麵	청수옥면
當歸醉麵	당귀취면
仙育蟾蜍	두꺼비고기
鈍尾蠍	둔미전갈
黃銅石	황동석
玉琉璃	옥유리
紙包雞	지포계
包雞紙	포계지
油膩膩的紙鶴	기름종이로 만든 학
釀酒配方	양주배방
碧血丹心	벽혈단심
柴火	시화
普通清水	보통청수
優質冷水	양질영수
千年玉結水	천년옥결수
井水	정주
優質井水	양질 정수
優質山泉水	양질 천수
普通原水	보통연수
優質軟水	양질 연수
特級純淨水	특급순정수
普通煤炭	보통 석탄
優質褐炭	양질 석탄
無煙煤炭	무연 석탄
百煉鋼錠	백련강정
名器碎片	명기쇄편
神器碎片	신기쇄편
皮囊風箱	가죽풀무
水排木風箱	수목풀무
雙動活塞風箱	쌍동풀무
普通藥引包	일반 약가방
特效藥引包	특수 약가방
十全藥引包	완벽 약가방
普通木材	보통 목재
優質軟木	양질 목재
特級硬木	특급 목재
普通紅曲	보통 홍곡
優質紅曲	양질 홍곡
古田紅曲	특급홍곡
普通糯米	보통 찹쌀
優質糯米	양질 찹쌀
惠水糯米	특급 찹쌀
細織布衫圖紙	섬세한 포삼도면
金鐵布衫圖紙	금수실 포삼도면
細織上好布衫圖紙	섬세한 상호포삼도면
金鐵上好布衫圖紙	금수실 상호포삼도면
細織精緻儒裝圖紙	섬세한 정치유장도면
金鐵精緻儒裝圖紙	금수실 정치유장도면
細織霧絲長衣圖紙	섬세한 무사장의도면
金鐵霧絲長衣圖紙	금수실 무사장의도면
細織了塵紫杉圖紙	섬세한 요진자삼도면
金鐵了塵紫杉圖紙	금수실 요진자삼도면
細織烏蠶大袍圖紙	섬세한 오잠대포도면
金鐵烏蠶大袍圖紙	금수실 오잠대포도면
細織天蠶軟甲圖紙	섬세한 천잠연갑도면
金鐵天蠶軟甲圖紙	금수실 천잠연갑도면
細織金蠶寶衣圖紙	섬세한 금잠보의도면
金鐵金蠶寶衣圖紙	금수실 금잠보의도면
蘆花	갈대꽃
小盒子	작은 상자
包子	만두
藥丸	환약
佛珠	염주
毒藥	독약
解心丹	해심단
回生丹	회생단
信件	서신
日錄	일기
碗	그릇
裝滿水的碗	물이담긴그릇
紅蓼	홍료
香糖果子	향기로운 사탕
梅子薑	매실생강
糖葫蘆	탕후루
數顆山楂	산사열매
揚眉派玉珮	扬眉派옥패
蠟燭	초
絕世武功祕笈	절세무공비급
乾糧	건량
麵食	밀가루 음식
雪花酒	설화주
鍛造台	단조대
菜包子	야채만두
獨下包子	독하만두
木材	목재
破內褲	파내고
白酒	백주
破損的棉衣	찢어진 포삼
發黴的饅頭	곰팡이 핀 만두
金髮簪	금비녀
針織棒	대바늘
鉤子	갈고리
繩子	밧줄
加工的金髮簪	가공한 금비녀
鑰匙	열쇠
奇形鐵針	기이한 모양의 철침
磁石針	자석침
顏色鮮豔的花	산뜻하고 아름다운 색의 꽃
三子養親湯帖	삼자양친탕 한 첩
畫像	초상화
大福叔的貨	대복 삼촌의 물건
烤鯖魚	구운생선
不知名的瓶子	이름 모를 병
般若心經	반야심경
般若心經書皮	반야심경서피
般若心經內頁	반야심경내혈
圓覺經	원각경
盂蘭盆經	우란분경
大力金剛指功法	대력금강지공법
金剛般若掌功法	금강반야장공법
怒目金剛棍功法	노목금강곤공법
無名書	무명서
沒名書	몰명서
斷腸劍	단장검
杏仁茶	행인차
人蔘	인삼
人蔘藥酒	인삼약주
斷裂的劍炳	부러진 검병
寶物	보물
短劍與信	단검과 편지
揉爛的信	구겨진 편지
妖刀	요도
大石頭	큰 돌덩어리
麻布袋	삼베 자루
箱子	상자
小心乳娘的字條	유모의 쪽지를 주의해
三思劍	삼사검
白虎皮	백호 가죽
無名字畫	무명서화
大棗	대추
小茴香	소회향
白芍	백작
紅花	홍화
千年人參	천년인삼
奔泉劍	분천검
千杯不醉	천배불취
猴兒酒	후인주
裝茶的酒葫蘆	장차적주호호
竹葉青	죽엽청
被偷的酒葫蘆	피투적주호호
百草酒	백초주
金織木盒	금직목합
金織機關術殘篇	금직기관술잔편
金織骰子	금색 주사위
金鐵金蠶寶衣配方	금수실 금잠보의 제작법
藏寶圖	장보도
第一張紙條	제1장 종이
第二張紙條	제2장 종이
第三張紙條	제3장 종이
第四張紙條	제4장 종이
紫醉金迷	자취금미
張伯寄給師父的信	장백이 사부에게 쓴 서신
遊春圖	유춘도
古書	고서
奇怪的紙條	이상한 쪽지
日記殘頁(一)	일기 종이(1)
日記殘頁(二)	일기 종이(2)
日記殘頁(三)	일기 종이(3)
日記殘頁(四)	일기 종이(4)
楚向陽的通緝文案	초향양 지명 수배 사건
楚向陽的手記	초양향의 수기
老舊的香囊	낡고 오래된 향낭
嚴樂小時候的畫	어린 시절의 그림
香囊秘方	향낭비방
嚴氏香囊	엄씨 향낭
特製沉香	특제침향
秦英的戰書	진영의 전서
易筋經	역근경
第一域的考驗	첫 번째 시험
第二道題	두 번째 문제
第三道題	세 번째 문제
最終謎題	마지막 수수께끼
殘破的紙片	파손된 종이 조각
完整的紙張	완전한 종이
白虎令	백호령
玄武令	현무령
青龍令	청룡령
朱雀令	주작령
玫瑰	장미
玫瑰花	장미꽃
香囊	향낭
《逆天五行論》	《역천오행론》
《木客》	《목객》
《金陵圖》	《금릉도》
《分流水》	《분류수》
《春曉》	《춘효》
《夏日山中》	《하일산중》
《聞雁》	《기러기 소리 듣고서》
《江雪》	《강설》
《上古手記》	《상고수기》
《觀萬物》	《관만물》
機關書	기관서
甜酒釀	첨주양
迷迭香粉	미질향분
水仙果	수선과
麝香	사향
豆漿	두장
洛霄竹	낙소죽
花椒	화초
雲夢果	운몽과
清松果	청송과
動物屍體	동물시체
迷迭香	미질향
綠色香丸	녹색향환
褐色香丸	갈색향환
藍色香丸	남색향환
白色香丸	백색향환
題本	상주문
論語抄本	논어 사본
孟子	맹자
尚書	상서
天干地支	천간지지
未知	미지
小溪村	소강촌
寢房	침실
小廳堂	작은 대청
小溪民房	소강민가
大福鐵舖	대장간
龐家藥店	방가약국
民房	민가
劉漓家	숙모네
廢棄米倉	폐창고
大宅倉庫	큰집창고
揚石坡	양석파
棺馬寨	마구간
山寨大廳	산채실내
山寨平房	산채
開封	개봉
皇宮大廳	황궁실내
遇仙樓	우선루
悅來客棧	여관
開封坊	개봉소
衙門官府	관청
官府監牢	관청감옥
開封民房	개인주택
官府房邸	관저
碧春閣	벽춘각
開封倉庫	개인창고
工作坊	작업장
萬源當	만원당
公主房	공주방
皇室書房	황실서재
同德堂	동덕당
窄巷酒攤	향락가
向陽市集	남쪽시장
橋前酒攤	교전주점
三不欺藥鋪	약방
浣衣坊	세탁소
虹橋	칠색교
橋東刀鋪	도검상점
勾瀾臺	구란대
德記布莊	덕천상점
點翠飾樓	비취루
俞家寶鋪	보물가게
大相國寺	대청구사원
開封書院	개봉서원
摩尼教堂	마니성당
生津果舖	과일가게
劍鋒派	검봉파
劍鋒派大廳	검봉파실내
劍鋒監牢	검봉감옥
枯絲谷	고사곡
枯絲谷洞穴	고사곡동굴
飛白派	비백파
飛白派大廳	비백파실내
失火大廳	폐허
練琮淵房	연공실
八法門	팔법문
八法門大廳	팔법문실내
摩尼教	마니교
摩尼教大廳	마니교실내
摩尼監牢	마니감옥
摩尼廂房	마니방
摩尼煉丹房	마니연단실
藥王遺跡	약왕유적
藥王谷大廳	약왕곡실내
藥王谷正房	약왕곡본채
藥王谷地窖	약왕곡땅굴
神機門	신기문
神機門大廳	신기문실내
丹藥房	단약방
上房	귀빈실
水牢	수옥
少林寺	소림사
大雄寶殿	대웅보전
藏經閣	장경각
劍墳	검무덤
劍墳洞穴	검분동혈
龍感湖	용감호
皇室陵寢	황실왕릉
陵寢側房	왕릉
鳴幫	명방
鳴幫大廳	명방실내
破舊倉房	낡은창고
書房	서재
洛陽	낙양
醉翁酒肆	주점
謫仙客棧	적선객점
祥龍坊	상용방
君子堂	군자당
揚眉派	양소파
秦家莊大廳	진가장실내
穹雲幫大廳	천운방실내
穹雲廂房	천운응접실
官府牢房	관청감방
井人天房	정인천방
洛陽民宅	낙양민가
客棧包廂	객잔응접실
倉庫庫房	창고
洛陽郊外	낙양교외
製藥鋪	제약점
武館	무관
大盤倉庫	큰창고
洛陽書院	낙양교외
虎嘯派	호소파
虎嘯派大廳	호소파실내
刑若櫻房	형벌실
杭州	항주
醉生樓包廂	취생루응접실
雲來客棧	여관
醉生樓	취생루
鍛造舖	단조점
廢棄房屋	폐가
寶鼎當舖	전당포
官府衙門	관아
王屋山	왕옥산
希夷齋	희이재
瑤光橋	옥광교
草約鄉	초약향
神醫居	신의방
王家宅	왕실
豬圈地	저권지
？？？	？？？
「乾」	「건」
「兌」	「태」
「離」	「리」
「震」	「진」
「巽」	「손」
「坎」	「감」
「艮」	「간」
「坤」	「곤」
東陽村	동양촌
孫家宅	손가집
李嬸家	이씨 아주머니집
錢氏厝	전씨집
趙家屋	조가옥
東陽酒坊	동양술집
農田地	농지
地下水脈	지하수맥
張府	장부
嚴氏中藥行	한약점
碧春閣廂房	벽춘각응접실
府尹房邸	부윤가옥
萬源當鋪	전당포
鏢局大廳	표국실내
釀酒鋪	양조점
程霓霓房	정예방
鏢局廂房	표국응접실
鏢局客房	표국객실
民宅	민가
地下競技場	지하경기장
御蒼遺跡	어성유적
觀鷹台	관응대
東華古道	동화고도
開封近郊	개봉근교
杭州水道	항주수로
廚房	주방
洛雁谷	낙안곡
洛雁谷大廳	낙안곡실내
雁谷東民房	안곡동민가
雁谷西民房	안곡서민가
廢棄礦坑	폐광
藤蔓洞穴	덩굴동굴
地下石室	지하석실
谷底秘境	비경
神秘石窟	신비석굴
小溪一隅	마을외각
洛陽郊區	낙양 변두리
不明門派	불명문파
蒼江派	창강파
樞密院	추밀원
毒龍幫	독룡방
地痞流氓	파락호
真傳	진전
衙門	관아
開封鏢局	개봉표국
來者不善	내자불선
烏鴉（？）	까마귀（?）
老一	일노
老二	이노
老三	삼노
老四	사노
老五	오노
老六	육노
老七	칠노
老八	팔노
老九	구노
老十	십노
柴朔風	채삭풍
趙妽	조신
柴曜	시요
梁人昊	양인호
刑若梅	형약매
刑若櫻	형약앵
宓玥	복월
神祕老人	신비노인
闕蒼鷹	궐창응
上官虹伶	상관공령
宓庵	밀암
王鍾	왕종
崔旭	최욱
安盛渠	안성거
練琮淵	연종연
白仙	백선
夏侯允	하후윤
楊盅	양충
李見義	이견의
段憐舟	단련주
程不猶	정불유
李煊	이선
羅魁	라괴
林玉兒	임옥아
法空	법공
嚴樂	엄락
嚴喜	엄희
嚴怒	엄노
嚴哀	엄애
延命	연명
弘道	홍도
老神醫	노신의
小苟	소구자
胖子男	반자남
老闆	노판
老苟	노구
店小二	점소이
運酒工	운주공
八婆他兒子	팔파타
張一	장일
胡三	호삼
哀愁少年	애수소연
林善全	임선전
攤販男	노점상
劉漓	유리
魁梧男	장한
船工工人	뱃사공
酒工阿柴	주정꾼
貨運工人	짐꾼
測試青龍幫主	청룡방주를 시험한다
老人男	노인
朱守長	주수장
虔誠婆婆	신앙인
酒館婆婆	객잔주인
水果婆婆	과일주인
書院婆婆	서원주인
雜貨婆婆	잡화주인
商店婆婆	가게주인
八卦三姑	팔괘삼고
八卦六嬸	팔괘육심
婦人	부인
夏人義	하인의
馮人薄	풍인박
尹人雲	윤인운
井人天	정인천
俠女	협녀
年輕女子	젊은여자
胖子女	뚱보
小孩男	어린아이
小孩女	어린아이
山賊	산적
魏豹	위표
路邊山賊LV1	노변산적LV1
路邊山賊LV2	노변산적LV2
路邊山賊LV3	노변산적LV3
路邊山賊LV4	노변산적LV4
路邊山賊LV5	노변산적LV5
路邊山賊LV6	노변산적LV6
路邊山賊LV7	노변산적LV7
路邊山賊LV8	노변산적LV8
路邊山賊LV9	노변산적LV9
路邊山賊LV10	노변산적LV10
摩尼教教眾	마니교 교도
摩尼教武士	마니교 무사
蒙面刺客	복면자객
徐樂	서락
衙門官差	아문관차
皇宮護衛	황궁호위
豐哥	풍형
年輕女	젊은여자
乞丐	거지
皇帝(便裝)	황제(변장)
貴婦(皇姐)	귀부(황녀)
測試穹雲幫主	궁운방주를 시험한다
